year,month,logcpi,logip,ff,gs1,gs2,ebp,mortg_spread_m,cp3m_spread_m
2010,11,539.122,451.9781,.19,.25,.45,-.155059,1.54,.09
2010,12,539.5753,452.9611,.18,.29,.62,-.403172,1.42,.09
2011,1,539.8466,452.8384,.17,.27,.61,.081907,1.37,.09
2011,2,540.2263,452.3687,.16,.29,.77,-.217003,1.37,.1
2011,3,540.7647,453.3821,.14,.26,.7,-.250326,1.43,.13
2011,4,541.1106,452.8035,.1,.25,.73,-.216373,1.38,.14
2011,5,541.4976,453.1659,.09,.19,.56,-.084545,1.47,.12
2011,6,541.6412,453.3431,.09,.18,.41,.081981,1.51,.11
2011,7,541.8737,453.9124,.07,.19,.41,-.020915,1.55,.1
2011,8,542.1362,454.4583,.1,.11,.23,-.250424,1.97,.14
2011,9,542.3861,454.5649,.08,.1,.21,.289268,2.13,.13
2011,10,542.3751,455.1214,.07,.11,.28,-.306556,1.92,.13
2011,11,542.5166,455.3454,.08,.11,.25,.382049,1.98,.13
2011,12,542.5554,455.9377,.07,.12,.26,.10295,1.98,.13
2012,1,542.7612,456.6387,.08,.12,.24,.030121,1.95,.11
2012,2,543.0455,457.1274,.1,.16,.28,-.121284,1.92,.08
2012,3,543.3503,456.5798,.13,.19,.34,-.529989,1.78,.1
2012,4,543.3508,457.3238,.14,.18,.29,-.367213,1.86,.12
2012,5,543.2184,457.5785,.16,.19,.29,-.350847,2,.1
2012,6,543.339,457.6073,.16,.19,.29,-.067985,2.06,.12
